um	
0.375124	0.0373132
0.411798	0.0710362
0.452057	0.119118
0.496252	0.163658
0.544768	0.204804
0.598027	0.241705
0.656493	0.27356
0.720675	0.299456
0.791132	0.318615
0.868477	0.3303
0.953383	0.333979
1.04659	0.329289
1.14891	0.316814
1.26123	0.297339
1.38454	0.271878
1.5199	0.241648
1.66849	0.208162
1.83161	0.173323
2.01068	0.139759
2.20725	0.110922
2.42304	0.0912884
2.65993	0.0854786
2.91998	0.0978498
3.20545	0.13217
3.51883	0.189157
3.86284	0.264344
4.24049	0.346801
4.65506	0.422238
5.11017	0.474891
5.60976	0.494441
6.1582	0.476658
6.76025	0.427975
7.42117	0.358564
8.14669	0.280935
8.94315	0.209295
9.81748	0.157304
10.7773	0.146474
11.8309	0.16684
12.9876	0.193671
14.2573	0.221352
15.6512	0.221968
17.1813	0.182466
18.861	0.151034
20.705	0.163133
22.7292	0.201972
24.9513	0.234628
27.3906	0.278366
30.0685	0.386647
33.0081	0.518373
36.2352	0.5169
39.7777	0.401024
43.6665	0.330271
47.9356	0.389398
52.622	0.578287
57.7666	0.71659
63.4141	0.602746
69.6138	0.427579
76.4196	0.502366
83.8907	0.923702
92.0923	1.36511
101.096	1.42379
110.979	1.42135
121.829	1.90014
133.74	2.98247
146.815	4.24726
161.168	5.35714
176.925	6.4928
194.222	7.86258
213.21	9.24982
234.054	10.0614
256.936	9.61936
282.056	7.54536
309.631	4.40808
339.902	2.04454
373.132	1.45448
409.611	1.96092
449.657	2.04323
493.617	0.965089
541.876	0.143974
594.852	0.00326286
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

