um	
0.375124	0.0975059
0.411798	0.17124
0.452057	0.251044
0.496252	0.357686
0.544768	0.44036
0.598027	0.502908
0.656493	0.549763
0.720675	0.589061
0.791132	0.608981
0.868477	0.599595
0.953383	0.564518
1.04659	0.506164
1.14891	0.438977
1.26123	0.356068
1.38454	0.261916
1.5199	0.147667
1.66849	0.0573185
1.83161	0.0107223
2.01068	0.000820337
2.20725	0
2.42304	0
2.65993	0.00233701
2.91998	0.0284427
3.20545	0.143566
3.51883	0.366398
3.86284	0.668962
4.24049	0.98721
4.65506	1.31712
5.11017	1.62131
5.60976	1.85054
6.1582	1.96505
6.76025	1.96217
7.42117	1.84966
8.14669	1.65811
8.94315	1.41325
9.81748	1.18453
10.7773	1.0238
11.8309	0.962102
12.9876	0.982813
14.2573	1.0148
15.6512	1.03044
17.1813	0.977779
18.861	0.940272
20.705	0.930605
22.7292	1.00226
24.9513	1.15832
27.3906	1.34128
30.0685	1.54817
33.0081	1.67016
36.2352	1.73119
39.7777	1.71026
43.6665	1.65976
47.9356	1.64788
52.622	1.69037
57.7666	1.81831
63.4141	1.99427
69.6138	2.17049
76.4196	2.27687
83.8907	2.26897
92.0923	2.16949
101.096	2.14592
110.979	2.40906
121.829	3.17605
133.74	4.47737
146.815	5.94126
161.168	6.84528
176.925	6.55794
194.222	5.05642
213.21	2.85689
234.054	1.06936
256.936	0.198369
282.056	0.0144395
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

