um	
0.375124	0.0418041
0.411798	0.075
0.452057	0.110894
0.496252	0.158155
0.544768	0.195702
0.598027	0.228038
0.656493	0.25556
0.720675	0.280847
0.791132	0.29761
0.868477	0.306149
0.953383	0.305961
1.04659	0.298604
1.14891	0.284098
1.26123	0.262425
1.38454	0.235436
1.5199	0.205227
1.66849	0.175438
1.83161	0.14757
2.01068	0.12473
2.20725	0.107736
2.42304	0.09919
2.65993	0.100301
2.91998	0.113609
3.20545	0.138122
3.51883	0.171565
3.86284	0.210487
4.24049	0.252488
4.65506	0.294691
5.11017	0.330523
5.60976	0.353446
6.1582	0.357583
6.76025	0.345827
7.42117	0.321115
8.14669	0.288846
8.94315	0.250486
9.81748	0.215723
10.7773	0.191756
11.8309	0.184632
12.9876	0.19256
14.2573	0.203157
15.6512	0.212772
17.1813	0.210383
18.861	0.211567
20.705	0.21652
22.7292	0.234978
24.9513	0.267428
27.3906	0.30264
30.0685	0.342187
33.0081	0.365482
36.2352	0.377939
39.7777	0.373415
43.6665	0.35964
47.9356	0.347081
52.622	0.339297
57.7666	0.344894
63.4141	0.360839
69.6138	0.384409
76.4196	0.407995
83.8907	0.427634
92.0923	0.443835
101.096	0.466513
110.979	0.512253
121.829	0.611262
133.74	0.80903
146.815	1.16663
161.168	1.7412
176.925	2.54095
194.222	3.48477
213.21	4.40238
234.054	5.09321
256.936	5.41434
282.056	5.3448
309.631	4.99031
339.902	4.5246
373.132	4.11065
409.611	3.83338
449.657	3.68505
493.617	3.58036
541.876	3.42103
594.852	3.13768
653.008	2.74488
716.849	2.3088
786.932	1.9352
863.866	1.68651
948.322	1.56202
1041.03	1.49512
1142.81	1.47269
1254.54	1.46334
1377.19	1.52578
1511.83	1.66075
1659.63	1.82364
1821.88	2.20685
2000	

