um	
0.375124	0.0376159
0.411798	0.0715275
0.452057	0.119651
0.496252	0.163792
0.544768	0.203984
0.598027	0.239279
0.656493	0.268844
0.720675	0.291796
0.791132	0.307495
0.868477	0.315451
0.953383	0.315517
1.04659	0.307849
1.14891	0.293556
1.26123	0.273895
1.38454	0.250192
1.5199	0.223731
1.66849	0.19571
1.83161	0.167306
2.01068	0.139995
2.20725	0.115793
2.42304	0.0978647
2.65993	0.0899577
2.91998	0.0962855
3.20545	0.120573
3.51883	0.164341
3.86284	0.225228
4.24049	0.294574
4.65506	0.360538
5.11017	0.408718
5.60976	0.429531
6.1582	0.417984
6.76025	0.379088
7.42117	0.321552
8.14669	0.255796
8.94315	0.19659
9.81748	0.157519
10.7773	0.161122
11.8309	0.196725
12.9876	0.232486
14.2573	0.261896
15.6512	0.256552
17.1813	0.203972
18.861	0.161369
20.705	0.172439
22.7292	0.217418
24.9513	0.249634
27.3906	0.285385
30.0685	0.381144
33.0081	0.489923
36.2352	0.47138
39.7777	0.36237
43.6665	0.305167
47.9356	0.370865
52.622	0.574801
57.7666	0.775055
63.4141	0.753309
69.6138	0.615993
76.4196	0.682482
83.8907	1.09049
92.0923	1.59624
101.096	1.89608
110.979	2.21217
121.829	2.89304
133.74	3.93531
146.815	5.075
161.168	6.16741
176.925	7.246
194.222	8.28779
213.21	9.05537
234.054	9.1237
256.936	8.09153
282.056	5.89615
309.631	2.94037
339.902	0.731191
373.132	0.411099
409.611	1.73367
449.657	3.10119
493.617	1.72864
541.876	0.28018
594.852	0.00677776
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

